Training started at 2026-02-18 20:08:41.773622
Configuration:
  Dataset: SEED (62 channels, 200Hz)
  Segment length: 4000 samples
  LR: 0.001, Min LR: 1e-06
  Batch size: 32
  Mask ratio: 0.75
  Epochs: 200
============================================================

Epoch   0 | Loss: 1.1585 | Cor: -0.0001 | LR: 4.97e-05
Epoch 145 | Loss: 0.4132 | Cor: 0.7651 | LR: 2.07e-04 ✓ BEST
Epoch 146 | Loss: 0.4131 | Cor: 0.7650 | LR: 2.00e-04
Epoch 147 | Loss: 0.4131 | Cor: 0.7650 | LR: 1.93e-04
Epoch 148 | Loss: 0.4121 | Cor: 0.7655 | LR: 1.86e-04 ✓ BEST
Epoch 149 | Loss: 0.4120 | Cor: 0.7655 | LR: 1.79e-04
Epoch 150 | Loss: 0.4113 | Cor: 0.7658 | LR: 1.73e-04 ✓ BEST
Epoch 151 | Loss: 0.4115 | Cor: 0.7656 | LR: 1.66e-04
Epoch 152 | Loss: 0.4106 | Cor: 0.7661 | LR: 1.60e-04 ✓ BEST
Epoch 153 | Loss: 0.4106 | Cor: 0.7661 | LR: 1.54e-04
Epoch 154 | Loss: 0.4100 | Cor: 0.7665 | LR: 1.47e-04 ✓ BEST
Epoch 155 | Loss: 0.4094 | Cor: 0.7667 | LR: 1.41e-04 ✓ BEST
Epoch 156 | Loss: 0.4087 | Cor: 0.7670 | LR: 1.35e-04 ✓ BEST
Epoch 157 | Loss: 0.4091 | Cor: 0.7668 | LR: 1.29e-04
Epoch 158 | Loss: 0.4081 | Cor: 0.7671 | LR: 1.24e-04 ✓ BEST
Epoch 159 | Loss: 0.4081 | Cor: 0.7673 | LR: 1.18e-04 ✓ BEST
Epoch 160 | Loss: 0.4077 | Cor: 0.7675 | LR: 1.12e-04 ✓ BEST
Epoch 161 | Loss: 0.4075 | Cor: 0.7676 | LR: 1.07e-04 ✓ BEST
Epoch 162 | Loss: 0.4066 | Cor: 0.7680 | LR: 1.02e-04 ✓ BEST
Epoch 163 | Loss: 0.4068 | Cor: 0.7678 | LR: 9.64e-05
Epoch 164 | Loss: 0.4063 | Cor: 0.7679 | LR: 9.14e-05
Epoch 165 | Loss: 0.4060 | Cor: 0.7682 | LR: 8.64e-05 ✓ BEST
Epoch 166 | Loss: 0.4056 | Cor: 0.7685 | LR: 8.16e-05 ✓ BEST
Epoch 167 | Loss: 0.4060 | Cor: 0.7682 | LR: 7.69e-05
Epoch 168 | Loss: 0.4052 | Cor: 0.7685 | LR: 7.24e-05 ✓ BEST
Epoch 169 | Loss: 0.4050 | Cor: 0.7687 | LR: 6.79e-05 ✓ BEST
Epoch 170 | Loss: 0.4047 | Cor: 0.7690 | LR: 6.37e-05 ✓ BEST
Epoch 171 | Loss: 0.4046 | Cor: 0.7691 | LR: 5.95e-05 ✓ BEST
Epoch 172 | Loss: 0.4047 | Cor: 0.7688 | LR: 5.55e-05
Epoch 173 | Loss: 0.4040 | Cor: 0.7691 | LR: 5.16e-05
Epoch 174 | Loss: 0.4041 | Cor: 0.7691 | LR: 4.78e-05
Epoch 175 | Loss: 0.4040 | Cor: 0.7690 | LR: 4.42e-05
Epoch 176 | Loss: 0.4037 | Cor: 0.7693 | LR: 4.07e-05 ✓ BEST
Epoch 177 | Loss: 0.4038 | Cor: 0.7692 | LR: 3.74e-05
Epoch 178 | Loss: 0.4035 | Cor: 0.7693 | LR: 3.42e-05 ✓ BEST
Epoch 179 | Loss: 0.4037 | Cor: 0.7692 | LR: 3.11e-05
Epoch 180 | Loss: 0.4031 | Cor: 0.7695 | LR: 2.82e-05 ✓ BEST
Epoch 181 | Loss: 0.4035 | Cor: 0.7694 | LR: 2.55e-05
Epoch 182 | Loss: 0.4032 | Cor: 0.7696 | LR: 2.28e-05 ✓ BEST
Epoch 183 | Loss: 0.4031 | Cor: 0.7697 | LR: 2.04e-05 ✓ BEST
Epoch 184 | Loss: 0.4025 | Cor: 0.7698 | LR: 1.80e-05 ✓ BEST
Epoch 185 | Loss: 0.4026 | Cor: 0.7698 | LR: 1.59e-05 ✓ BEST
Epoch 186 | Loss: 0.4022 | Cor: 0.7700 | LR: 1.38e-05 ✓ BEST
Epoch 187 | Loss: 0.4027 | Cor: 0.7696 | LR: 1.19e-05
Epoch 188 | Loss: 0.4022 | Cor: 0.7699 | LR: 1.02e-05
Epoch 189 | Loss: 0.4024 | Cor: 0.7698 | LR: 8.60e-06
Epoch 190 | Loss: 0.4026 | Cor: 0.7697 | LR: 7.16e-06
Epoch 191 | Loss: 0.4022 | Cor: 0.7699 | LR: 5.87e-06
Epoch 192 | Loss: 0.4022 | Cor: 0.7699 | LR: 4.73e-06
Epoch 193 | Loss: 0.4027 | Cor: 0.7698 | LR: 3.74e-06
Epoch 194 | Loss: 0.4022 | Cor: 0.7699 | LR: 2.91e-06
Epoch 195 | Loss: 0.4022 | Cor: 0.7700 | LR: 2.22e-06 ✓ BEST
Epoch 196 | Loss: 0.4023 | Cor: 0.7699 | LR: 1.69e-06
Epoch 197 | Loss: 0.4020 | Cor: 0.7701 | LR: 1.31e-06 ✓ BEST
Epoch 198 | Loss: 0.4022 | Cor: 0.7699 | LR: 1.08e-06
Epoch 199 | Loss: 0.4025 | Cor: 0.7698 | LR: 1.00e-06

============================================================
Training Summary - SEED Dataset
============================================================
Best Epoch: 197
Best Loss: 0.4020
Best Correlation: 0.7701

Status for Super-Resolution:
  ✓ EXCELLENT - Ready for high-quality super-resolution
============================================================
